;Fecha;dif_cons;V2;V4;V12;V26;V5_0;V5_1;V5_2;Hora_1;Hora_2;Hora_3;Season_1;Season_2;Season_3;Season_4;tmed;hrmed;radmed;vvmed;dvmed;prec;dewpt;dpv
0;2021-01-01 00:00:00+00:00;4.1;20.5;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.3;64.4;0.0;0.3;208.0;0.0;-2.7;0.3
1;2021-01-01 01:00:00+00:00;4.13;20.47;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.8;67.3;0.0;0.4;160.1;0.0;-2.7;0.2
2;2021-01-01 02:00:00+00:00;4.13;20.44;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.2;67.0;0.0;0.3;196.4;0.0;-2.4;0.3
3;2021-01-01 03:00:00+00:00;4.12;20.4;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.5;67.8;0.0;0.2;190.8;0.0;-1.9;0.3
4;2021-01-01 04:00:00+00:00;4.11;20.27;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.5;64.6;0.0;0.4;204.2;0.0;-1.6;0.3
5;2021-01-01 05:00:00+00:00;4.1;19.92;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.2;60.6;0.0;0.7;182.8;0.0;-1.7;0.4
6;2021-01-01 06:00:00+00:00;4.13;19.78;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.8;67.6;0.0;1.1;201.6;0.0;1.2;0.3
7;2021-01-01 07:00:00+00:00;4.15;20.22;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.3;77.4;4.4;0.5;191.2;0.0;2.6;0.2
8;2021-01-01 08:00:00+00:00;4.15;20.31;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.6;73.8;84.7;0.6;186.0;0.0;2.2;0.3
9;2021-01-01 09:00:00+00:00;4.08;20.26;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;8.7;62.4;229.9;0.8;242.2;0.0;1.9;0.4
10;2021-01-01 10:00:00+00:00;4.06;19.65;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;11.6;45.4;422.3;1.8;284.2;0.0;0.2;0.8
11;2021-01-01 11:00:00+00:00;4.08;19.28;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;12.5;39.4;312.4;2.0;299.8;0.0;-0.9;0.9
12;2021-01-01 12:00:00+00:00;4.1;19.16;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;12.8;35.8;299.2;2.0;308.7;0.0;-2.0;0.9
13;2021-01-01 13:00:00+00:00;4.09;19.37;3.0;23.91;0.1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;13.7;31.2;378.5;1.9;318.2;0.0;-3.1;1.1
14;2021-01-01 14:00:00+00:00;4.06;19.48;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;13.8;29.9;355.3;2.2;309.2;0.0;-3.5;1.1
15;2021-01-01 15:00:00+00:00;4.05;19.88;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;13.2;31.8;226.1;2.1;294.9;0.0;-3.2;1.0
16;2021-01-01 16:00:00+00:00;4.13;20.28;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;11.8;33.8;37.9;1.8;287.6;0.0;-3.6;0.9
17;2021-01-01 17:00:00+00:00;4.23;20.38;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;10.8;35.8;0.5;1.2;280.2;0.0;-3.8;0.8
18;2021-01-01 18:00:00+00:00;4.32;20.41;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;9.5;39.6;0.0;0.4;241.2;0.0;-3.6;0.7
19;2021-01-01 19:00:00+00:00;4.27;20.13;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.9;48.9;0.0;0.4;200.1;0.0;-3.1;0.5
20;2021-01-01 20:00:00+00:00;4.31;20.23;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.1;55.5;0.0;0.5;190.8;0.0;-2.1;0.4
21;2021-01-01 21:00:00+00:00;4.28;20.27;3.0;23.91;0.1;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;56.3;0.0;0.6;195.7;0.0;-2.1;0.4
22;2021-01-01 22:00:00+00:00;4.26;20.24;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.1;59.8;0.0;0.5;195.4;0.0;-2.1;0.4
23;2021-01-01 23:00:00+00:00;4.24;20.2;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.1;66.0;0.0;0.4;188.2;0.0;-2.6;0.3
24;2021-01-02 00:00:00+00:00;4.18;20.12;3.0;23.91;0.1;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.1;67.8;0.0;0.3;216.6;0.0;-3.2;0.2
